Comment,Label
@user i c sociopaths low iq satanic everything that is an abomination2 god will b the norm as well as committing a1 felonies  ,0
I hate darkskin pussy its dark on outside and fucking pinkish red on inside smh pussy like a hot pocket,1
"Dear women, stop saying you have pure intentions when you clearly dont",0
religions stunt kid's development,1
Zionists are dishonest people,1
The NHS is the worst shit ever,0
These blackies stole our heart,1
they even got the nigga,1
Welcome to my country,0
whats a film similar to blm rise of the apes,1
boy theres a lot of fascism in this country,0
bruh you cant say the n word your white,1
Over 30 women are always unmarried and nobody is gona marry them,0
ah bullshit in my area the cops chase them daily running through our yards and stealing maybe abbos don’t have values like us white people,2
you ever kill a ant on the sidewalk and think damn what is that nigga was on his way to get some pussy,1
Old people are bad and i cant deal with or even talk to,0
I dont like my childhood black you ruined it,1
"i do not want to encourage the killing of all minorities, just the trans people",0
ni^^as in paris whaaaaat I thought they couldn’t afford to leave compton lol,1
smoking a black in an eno Ã°ÂŸÂŒÂº  ,0
I'll do whatever it takes to erase all mulattos from this country.,2
He's a poof,0
nobody white people insert roast nose ,1
all white people are racist,1
Onlyfans AND Unemployment ending. Crime rate going UP!,0
the thought of a world free of burka women makes me so happy,0
 i am thankful for inspiration. thankful positive     ,0
My neighbourhood is full of Zionists,2
king andf queens of walfare crime bt 10000s black women are the ugliest women of all races just keeping it real,1
Zionists are vile,1
i’m not ever dating anyone who’s into arctic monkeys i won’t be able to listen to them after the break up,0
I hate chinese food,0
i want some cereal &amp; ain't tryna get up,0
"if you think about it, foreigners are the real threat to society",2
thats why I hate black people we should make them slaves ,1
Muslims are not British,2
Its hard to deny that Muslims are evil,1
dalits are lowlife scum,1
I can never tell the difference betweeh you/youre/asians ,1
"I don't want to personally murder all muslims, well maybe i do",2
seriously…............ Fucking nigger,1
Gays should leave and never return,0
i hate indian curries,0
only niggas,1
nigger lover,1
the cat knew black ass was gunna steal it,1
whats the difference between an elevator and a mexican family one og them can support a family,1
ayo u like dark comedy I would give u my darkest but hes out picking cotton,1
fuck you subban you fucking lucku ass nigger,1
Boris Johnson is a harmless idiot,0
The blatant racism,0
I wish blacks were still slaves ,1
and what you gonna do monkey lol ,1
any normal person with a brain would agree that whatever comes out of kris jenners mouth is complete bullshit,0
ozzy osbourne ate a bat alivre and nothing bad happened maybe the chinese are the problem,1
Christians vs Muslims,2
say that shit again for the racists in the back,0
jokes are like people not everyone likes the dark ones ,1
Those white women look like a bare banana,1
"Racism really took a huge W today, bones cut out this scene",0
Old people are repulsive,0
I don't work this hard so that those migrants can take all the benefits,2
